Policy,Energy_Arrival_Rate,Generated,Sent,Lost,Avg_Delay (simulation time units),Delivery_Ratio
greedy,0.5,491,136,355,161.8725886408121,0.2769857433808554
threshold,0.5,512,143,369,163.63771351870568,0.279296875
random,0.5,478,145,333,179.37761198289294,0.303347280334728
save_then_transmit,0.5,521,160,361,184.21306290988164,0.30710172744721687
greedy,0.8,523,266,257,107.87796848052788,0.5086042065009561
threshold,0.8,487,237,250,122.53334484757147,0.486652977412731
random,0.8,505,229,276,127.03032404412048,0.4534653465346535
save_then_transmit,0.8,499,219,280,132.4750326461445,0.43887775551102204
greedy,1.0,499,323,176,77.29156896260422,0.6472945891783567
threshold,1.0,510,282,228,106.992110774179,0.5529411764705883
random,1.0,467,226,241,115.79993135371704,0.48394004282655245
save_then_transmit,1.0,479,271,208,105.379263296279,0.5657620041753654
